epoch,loss_G,loss_D,grad_norm_G
1,8.113384914398193,0.09199931907933205,68.33793261310885
2,11.492523860931396,0.020611287127248943,74.5742064044837
3,11.629098415374756,0.00405291682400275,84.28359332303565
4,20.033120727539064,0.2801926117847932,115.32956564044953
5,29.253388977050783,0.40825639241994366,55.87504709917256
6,24.965576171875,0.014113482494656182,71.36059527276419
7,37.89626007080078,0.1934813510857748,0.04278529074419195
8,37.65426788330078,0.00021571358530763973,0.052058554901946406
9,37.42156066894531,0.0007748752691941263,0.1432911688878808
10,37.73160858154297,8.105174274078308e-05,0.07356073107977394
11,37.50803985595703,8.729375844382048e-05,0.30341162378237346
12,37.370425415039065,0.00010744845538624758,0.23317592824014208
13,37.16193389892578,0.00011180250566667383,0.12565548382809283
14,37.42062606811523,8.075855911442886e-05,0.11874504083876632
15,37.25727310180664,6.315170098105228e-05,0.24893500445785516
16,37.23427963256836,4.446990105861914e-05,0.19276827923264955
17,37.23536376953125,7.498349613797472e-05,0.12179912239010955
18,36.951569366455075,2.628307464703994e-05,0.5396470600915085
19,37.03750839233398,3.8786226738523056e-05,0.21577215634930352
20,36.91478042602539,3.609915514516615e-05,0.6647215061674099
