epoch,V_DG,JSD_hat
1,-0.35915318357951126,0.5135705887701897
2,-0.580925786136577,0.4026842874916568
3,-0.9759738172481214,0.2051602719358846
4,-0.9862211457472336,0.20003660768632847
5,-0.3921144863544965,0.497089937382697
6,-0.30869714840250984,0.5387986063586904
7,-0.24879799839648478,0.5687481813617029
8,-0.5688332938454331,0.4087305336372287
9,-0.3261321172416874,0.5300811219391016
10,-0.6037049628047476,0.3912946991575715
11,-0.3357106978218911,0.5252918316489997
12,-0.6723371684418489,0.35697859633902085
13,-0.3107703005550699,0.5377620302824103
14,-0.279181719357293,0.5535563208812988
15,-0.5677303694404313,0.40928199583972963
16,-0.3916916406499782,0.4973013602349562
17,-0.3645025037710279,0.5108959286744313
18,-0.6955188240665104,0.34538776852669006
19,-0.3857010661360947,0.500296647491898
20,-0.7846827776832942,0.3008057917182982
21,-0.3681347030308305,0.50907982904453
22,-0.46797465952839246,0.45915985079574906
23,-0.4360978335208511,0.47509826379951975
24,-0.46722445641965804,0.45953495235011627
25,-0.4777590843510787,0.4542676383844059
26,-0.5598404336480096,0.4132269637359405
27,-0.4681638272143154,0.4590652669527876
28,-0.585668898903182,0.4003127311083543
29,-0.6594660912696396,0.3634141349251255
30,-0.3617322795375153,0.5122810407911876
31,-0.3207630357126351,0.5327656627036277
32,-0.9813056534409258,0.2024943538394824
33,-0.3873230974233496,0.4994856318482705
34,-0.6862708748316181,0.35001174314413624
35,-0.29299399840805207,0.5466501813559193
36,-0.43827913007916747,0.4740076155203615
37,-0.3938425348569662,0.4962259131314622
38,-0.4921002531370235,0.4470970539914335
39,-0.5169658547387622,0.4346642531905642
40,-0.33503834388834863,0.525628008615771
41,-0.6553087288924474,0.3654928161137216
42,-0.5033755753778403,0.44145939287102515
43,-0.9594053665885416,0.2134444972656745
44,-0.4691842630472374,0.4585550490363266
45,-0.371616786466144,0.5073387873268733
46,-0.7826764466767853,0.30180895722155265
47,-0.43283815691890587,0.4767281021004923
48,-0.6824766097461726,0.35190887568685897
49,-0.7704062098118669,0.30794407565401183
50,-0.37282919843903095,0.5067325813404298
