epoch,loss_G,loss_D
1,9.602344487451498,0.35915318357951126
2,17.584238625847153,0.580925786136577
3,14.302153249625905,0.9759738172481214
4,8.799522954265365,0.9862211457472336
5,8.100694637256105,0.3921144863544965
6,9.091757893827817,0.30869714840250984
7,7.741025330892915,0.24879799839648478
8,6.504973324476213,0.5688332938454331
9,7.233112976120947,0.3261321172416874
10,4.965544956033107,0.6037049628047476
11,4.696264283959743,0.3357106978218911
12,5.38668886962075,0.6723371684418489
13,6.282550680079811,0.3107703005550699
14,5.914601582992316,0.279181719357293
15,5.433227367018803,0.5677303694404313
16,5.29864447578821,0.3916916406499782
17,5.209082218745769,0.3645025037710279
18,5.47517533397887,0.6955188240665104
19,4.987198078453143,0.3857010661360947
20,5.460595047022558,0.7846827776832942
21,4.999431773655133,0.3681347030308305
22,4.979063661698509,0.46797465952839246
23,5.01667405661602,0.4360978335208511
24,5.245033200440269,0.46722445641965804
25,4.853932976457218,0.4777590843510787
26,4.900983350579616,0.5598404336480096
27,4.732248669477773,0.4681638272143154
28,4.750495559123152,0.585668898903182
29,5.657604336473087,0.6594660912696396
30,4.726669572774976,0.3617322795375153
31,5.066516390253887,0.3207630357126351
32,5.683549560258012,0.9813056534409258
33,4.206738350917077,0.3873230974233496
34,5.223524318771532,0.6862708748316181
35,4.142417843994957,0.29299399840805207
36,4.922897621358689,0.43827913007916747
37,4.805087424333483,0.3938425348569662
38,4.880180899875201,0.4921002531370235
39,4.620512515240098,0.5169658547387622
40,4.632490997524198,0.33503834388834863
41,5.126426125422352,0.6553087288924474
42,4.624177645634703,0.5033755753778403
43,5.595649744726236,0.9594053665885416
44,4.606714554512687,0.4691842630472374
45,4.285654085516133,0.371616786466144
46,4.792047141123986,0.7826764466767853
47,4.221833135658888,0.43283815691890587
48,5.228685699755903,0.6824766097461726
49,4.6021150258973345,0.7704062098118669
50,4.668354276559401,0.37282919843903095
